Time,Group,Participant,Success,Invested,Photo,Emotion,false_alarm,Notes,Survey,I1,I2,I3
28/07/2023 15:21:36,244,0,0,0,0,N,,,0,,,
28/07/2023 15:24:08,245,0,0,0,0,N,,,0,,,
28/07/2023 15:24:08,245,0,0,0,0,N,,,0,,,
28/07/2023 15:24:35,246,0,0,0,0,N,,,0,,,
28/07/2023 15:25:59,247,0,0,0,0,N,,,0,,,
28/07/2023 15:26:24,248,0,0,0,0,N,,,0,,,
28/07/2023 15:27:06,249,0,0,0,0,N,,,0,,,
28/07/2023 15:27:23,250,0,0,0,0,N,,,0,,,
28/07/2023 15:28:30,251,0,0,0,0,N,,,0,,,
28/07/2023 15:29:26,252,0,0,0,0,N,,,0,,,
28/07/2023 15:29:54,253,0,0,0,0,N,,,0,,,
28/07/2023 15:29:55,254,0,0,0,0,N,,,0,,,
28/07/2023 15:31:15,255,0,0,0,0,N,,,0,,,
28/07/2023 15:31:55,256,0,0,0,0,N,,,0,,,
28/07/2023 15:32:12,257,0,0,0,0,N,,,0,,,
28/07/2023 15:33:53,258,0,0,0,0,N,,,0,,,
28/07/2023 15:34:59,259,0,0,0,0,N,,,0,,,
28/07/2023 15:37:16,260,0,0,0,0,N,,,0,,,
28/07/2023 15:38:32,261,0,0,0,0,N,,,0,,,
28/07/2023 15:39:19,262,0,0,0,0,N,,,0,,,
28/07/2023 15:42:53,263,0,0,0,0,N,,,0,,,
28/07/2023 15:44:24,264,0,0,0,0,N,,,0,,,
28/07/2023 15:44:26,265,0,0,0,0,N,,,0,,,
28/07/2023 15:44:56,266,0,0,0,0,N,,,0,,,
28/07/2023 15:44:56,266,0,0,0,0,N,,,0,,,
28/07/2023 15:46:53,267,0,0,0,0,N,,,0,,,
28/07/2023 15:47:31,268,0,0,0,0,N,,,0,,,
28/07/2023 15:47:31,268,0,0,0,0,N,,,0,,,
28/07/2023 15:48:31,269,1,1,1,0,N,,,1,,,
28/07/2023 15:53:37,270,0,0,0,0,N,,,0,,,
28/07/2023 15:53:42,271,0,0,0,0,N,,,0,,,
28/07/2023 15:56:13,272,0,0,0,0,N,,,0,,,
28/07/2023 15:56:31,273,0,0,0,0,N,,,0,,,
28/07/2023 15:56:34,274,0,0,0,0,N,,,0,,,
28/07/2023 15:56:50,275,0,0,0,0,N,,,0,,,
28/07/2023 15:56:57,276,0,0,0,0,N,,,0,,,
28/07/2023 15:56:57,276,0,0,0,0,N,,,0,,,
28/07/2023 15:57:39,277,0,0,0,0,N,,,0,,,
28/07/2023 15:59:18,278,0,0,0,0,N,,,0,,,
31/07/2023 12:00:24,279,0,0,0,0,N,,,0,,,
31/07/2023 12:00:44,280,0,0,0,0,N,,,0,,,
31/07/2023 12:01:33,281,0,0,0,0,N,,,0,,,
31/07/2023 12:03:09,282,0,0,0,0,N,,,0,,,
31/07/2023 12:05:21,283,0,0,0,0,P,,,0,,,
31/07/2023 12:06:23,284,0,0,0,0,N,,,0,,,
31/07/2023 12:07:00,285,0,0,0,0,N,,,0,,,
31/07/2023 12:07:08,286,1,1,0,1,P,,,0,,,
31/07/2023 12:07:21,287,0,0,0,0,N,,,0,,,
31/07/2023 12:12:47,288,0,0,0,0,N,,,0,,,
31/07/2023 12:13:00,289,0,0,0,0,N,,,0,,,
31/07/2023 12:13:27,290,0,0,0,0,N,,,0,,,
31/07/2023 12:15:01,291,0,0,0,0,N,,,0,,,
31/07/2023 12:15:07,292,0,0,0,0,N,,,0,,,
31/07/2023 12:15:16,293,0,0,0,0,N,,,0,,,
31/07/2023 12:15:23,294,0,0,0,0,N,,,0,,,
31/07/2023 12:15:37,295,0,0,0,0,N,,,0,,,
31/07/2023 12:16:30,296,0,0,0,0,N,,,0,,,
31/07/2023 12:16:30,296,0,0,0,0,N,,,0,,,
31/07/2023 12:16:38,297,0,0,0,0,N,,,0,,,
31/07/2023 12:17:25,298,0,0,0,0,N,,,0,,,
31/07/2023 12:17:27,299,0,0,0,0,N,,,0,,,
31/07/2023 12:22:12,300,0,0,0,0,N,,,0,,,
31/07/2023 12:22:19,301,0,0,0,0,N,,,0,,,
31/07/2023 12:23:48,302,0,0,0,0,N,,,0,,,
31/07/2023 12:28:27,303,0,0,0,0,N,,,0,,,
31/07/2023 12:28:50,304,0,0,0,0,N,,,0,,,
31/07/2023 12:29:39,305,0,0,0,0,N,,,0,,,
31/07/2023 12:30:45,306,0,0,0,0,N,,,0,,,
31/07/2023 12:30:47,307,0,0,0,0,N,,,0,,,
31/07/2023 12:33:33,308,0,0,0,0,N,,,0,,,
31/07/2023 12:35:10,309,0,0,0,0,N,,,0,,,
31/07/2023 12:35:55,310,0,0,0,0,N,,,0,,,
31/07/2023 12:38:08,311,0,0,0,0,N,,,0,,,
31/07/2023 12:38:40,312,0,0,0,0,N,,,0,,,
31/07/2023 12:39:02,313,0,0,0,0,N,,,0,,,
31/07/2023 12:39:27,314,0,0,0,0,N,,,0,,,
31/07/2023 12:40:05,315,0,0,0,0,N,,,0,,,
31/07/2023 12:40:05,315,0,0,0,0,N,,,0,,,
31/07/2023 12:40:31,316,0,0,0,0,N,,,0,,,
31/07/2023 12:40:50,317,0,0,0,0,N,,,0,,,
31/07/2023 12:40:58,318,0,0,0,0,N,,,0,,,
31/07/2023 12:41:52,319,0,0,0,0,N,,,0,,,
31/07/2023 12:42:14,320,0,0,0,0,N,,,0,,,
31/07/2023 12:42:38,321,0,0,0,0,N,,,0,,,
31/07/2023 12:42:40,322,0,0,0,0,N,,,0,,,
31/07/2023 12:43:06,323,0,0,0,0,N,,,0,,,
31/07/2023 12:43:10,324,0,0,0,0,N,,,0,,,
31/07/2023 12:44:21,325,0,0,0,0,N,,,0,,,
31/07/2023 12:44:21,325,0,0,0,0,N,,,0,,,
31/07/2023 12:44:59,326,0,0,0,0,N,,,0,,,
31/07/2023 12:45:04,327,0,0,0,0,N,,,0,,,
31/07/2023 12:45:07,328,0,0,0,0,N,,,0,,,
31/07/2023 12:45:19,329,0,0,0,0,N,,,0,,,
31/07/2023 12:47:29,330,0,0,0,0,N,,,0,,,
31/07/2023 12:48:50,331,0,0,0,0,N,,,0,,,
31/07/2023 12:48:56,332,0,0,0,0,N,,,0,,,
31/07/2023 12:49:32,333,0,0,0,0,N,,,0,,,
31/07/2023 12:49:49,334,0,0,0,0,N,,,0,,,
31/07/2023 12:51:59,335,0,0,0,0,N,,,0,,,
31/07/2023 12:52:26,336,0,0,0,0,N,,,0,,,
31/07/2023 12:52:51,337,0,0,0,0,N,,,0,,,
31/07/2023 12:54:33,338,0,0,0,0,N,,,0,,,
31/07/2023 12:57:05,339,0,0,0,0,N,,,0,,,
31/07/2023 12:58:24,340,0,0,0,0,N,,,0,,,
31/07/2023 13:00:54,341,0,0,0,0,N,,,0,,,
31/07/2023 13:02:26,342,0,0,0,0,N,,,0,,,
31/07/2023 13:05:48,343,0,0,0,0,N,,,0,,,
31/07/2023 13:07:11,344,0,0,0,0,N,,,0,,,
31/07/2023 13:07:27,345,0,0,0,0,N,,,0,,,
31/07/2023 13:09:01,346,0,0,0,0,N,,,0,,,
31/07/2023 13:09:37,347,0,0,0,0,N,,,0,,,
31/07/2023 13:09:45,348,0,0,0,0,N,,,0,,,
31/07/2023 13:12:16,349,0,0,0,0,N,,,0,,,
31/07/2023 13:13:58,350,0,0,0,0,N,,,0,,,
31/07/2023 13:14:28,351,0,0,0,0,N,,,0,,,
31/07/2023 13:14:44,352,0,0,0,0,N,,,0,,,
31/07/2023 13:17:46,353,0,0,0,0,N,,,0,,,
31/07/2023 13:18:01,354,0,0,0,0,N,,,0,,,
31/07/2023 13:19:06,355,0,0,0,0,N,,,0,,,
31/07/2023 13:19:53,356,0,0,0,0,N,,,0,,,
31/07/2023 13:21:55,357,0,0,0,0,N,,,0,,,
31/07/2023 13:23:52,358,0,0,0,0,N,,,0,,,
31/07/2023 13:24:14,359,0,0,0,0,N,,,0,,,
31/07/2023 13:24:31,360,0,0,0,0,N,,,0,,,
31/07/2023 13:25:37,361,0,0,0,0,N,,,0,,,
31/07/2023 13:25:52,362,0,0,0,0,N,,,0,,,
31/07/2023 13:26:03,363,0,0,0,0,N,,,0,,,
31/07/2023 13:27:47,364,0,0,0,0,N,,,0,,,
31/07/2023 13:28:13,365,0,0,0,0,N,,,0,,,
31/07/2023 13:30:18,366,0,0,0,0,N,,,0,,,
31/07/2023 13:31:50,367,1,1,1,0,N,1,,1,,,
31/07/2023 13:32:03,368,0,0,0,0,N,,,0,,,
31/07/2023 13:36:34,369,0,0,0,0,N,,,0,,,
31/07/2023 13:36:34,369,0,0,0,0,N,,,0,,,
31/07/2023 13:36:48,370,0,0,0,0,N,,,0,,,
31/07/2023 13:40:20,371,0,0,0,0,N,,,0,,,
31/07/2023 13:43:54,372,0,0,0,0,N,,,0,,,
31/07/2023 13:45:13,373,0,0,0,0,N,,,0,,,
31/07/2023 13:46:04,374,0,0,0,0,N,,,0,,,
31/07/2023 13:47:33,375,0,0,0,0,N,,,0,,,
31/07/2023 13:50:09,376,0,0,0,0,N,,,0,,,
31/07/2023 13:51:02,377,0,0,0,0,N,,,0,,,
31/07/2023 13:51:32,378,0,0,0,0,N,,,0,,,
31/07/2023 13:51:50,379,0,0,0,0,N,,,0,,,
31/07/2023 13:54:11,380,0,0,0,0,N,,,0,,,
31/07/2023 13:54:58,381,0,0,0,0,N,,,0,,,
31/07/2023 13:56:32,382,0,0,0,0,N,,,0,,,
31/07/2023 13:57:04,383,0,0,0,0,N,,,0,,,
31/07/2023 13:57:46,384,0,0,0,0,N,,,0,,,
31/07/2023 13:58:03,385,0,0,0,0,N,,,0,,,
31/07/2023 13:59:41,386,0,0,0,0,N,,,0,,,
